Skills,Industry
Myriad,Computer peripheral equipment
Wholesale Banking,Aerospace
GNU,n/a
Civil Aviation,n/a
Bartending,Biotechnology: In Vitro & In Vivo Diagnostic Substances
PCM,Computer Software: Prepackaged Software
Training,Packaged Foods
RS232,Hotels/Resorts
JSLint,n/a
DTI,Major Pharmaceuticals
Be Your Own Boss,n/a
Nitric Oxide,Metal Fabrications
Business Object,n/a
Civil Society,Biotechnology: Biological Products (No Diagnostic Substances)
OMB Circular A-133,Real Estate Investment Trusts
Customer Service,Radio And Television Broadcasting And Communications Equipment
DNV,"Computer Software: Programming, Data Processing"
TyMetrix,Auto Manufacturing
MP3,Business Services
Github,Specialty Insurers
Active-HDL,Electric Utilities: Central
OEM contracts,n/a
MTA,n/a
CFML,Semiconductors
FMCG,Electrical Products
Income Tax,EDP Services
Equipment Installation,Marine Transportation
IVA,n/a
Cash Handling,Investment Managers
WML,n/a
Driving Results,Natural Gas Distribution
FME,Radio And Television Broadcasting And Communications Equipment
Market Research,Restaurants
Globalization,n/a
Electrical Controls,n/a
WDK,Precious Metals
BMC Remedy User,n/a
Documentaries,Restaurants
ENOVIA LCA,Biotechnology: Biological Products (No Diagnostic Substances)
Unity3D,Major Chemicals
Quantum GIS,Integrated oil Companies
IT Governance,Real Estate Investment Trusts
Airline Management,Building Materials
Sports Nutrition,n/a
Driving License,Real Estate
Entertainment,n/a
Lytec,Major Pharmaceuticals
UEFI,Savings Institutions
Market Knowledge,n/a
WDK,Investment Managers
IP PBX,Building Products
IEP,Medical/Dental Instruments
Zooarchaeology,Electric Utilities: Central
VCM,Building Products
Screenwriting,n/a
HBA,n/a
Dual Diagnosis,n/a
PFT,n/a
Game Development,Real Estate Investment Trusts
Amazon Web Services (AWS),Business Services
OHSAS 18001,Banks
Youth Programs,Electric Utilities: Central
FSMS,Computer Manufacturing
Yamaha M7CL,Industrial Machinery/Components
3D Visualization,Medical/Dental Instruments
Sleep Medicine,n/a
Energy,Major Chemicals
iBatis,n/a
CFII,Natural Gas Distribution
Early Childhood Literacy,Paper
Wealth Management,Business Services
MSDS,Specialty Chemicals
Cycle Time Reduction,Consumer Electronics/Appliances
Eurocodes,Investment Managers
Db4o,n/a
TPMS,Major Banks
CWTS,n/a
Smoking Cessation,Broadcasting
HMIs,Semiconductors
Navisworks,n/a
